address,data_source,property_status,sale_amount,sale_date,multi_lot_sale,land_area
"34 NAPIER ST, COTTESLOE",RES,Non Strata,3600000,2021-03-19,N,594
"5 LOMA ST, COTTESLOE",RES,Non Strata,3600000,2011-02-01,N,655.085
"26 LILLIAN ST, COTTESLOE",RES,Non Strata,3600000,2022-03-12,N,613.783
"18 BROOME ST, COTTESLOE",RES,Non Strata,3600000,2021-12-29,N,746
"13 A AVONMORE TCE, COTTESLOE",RES,Non Strata,3600000,2015-06-25,N,572
"343 MARMION ST, COTTESLOE",RES,Non Strata,3550000,2010-06-14,N,644.968
"142 BROOME ST, COTTESLOE",RES,Strata,3550000,2021-04-18,N,678
"70 FORREST ST, COTTESLOE",RES,Non Strata,3550000,2017-08-05,N,637.38
"20 A ROSENDO ST, COTTESLOE",RES,Strata,3550000,2020-09-19,Y,1098
"20 B ROSENDO ST, COTTESLOE",RES,Strata,3550000,2020-09-19,Y,1098
"7 A PEARSE ST, COTTESLOE",RES,Strata,3550000,2023-05-08,N,949
"5 A NAILSWORTH ST, COTTESLOE",RES,Non Strata,3525000,2022-09-05,N,518
"8 GADSDON ST, COTTESLOE",RES,Non Strata,3510000,2020-11-21,N,613
"26 ERIC ST, COTTESLOE",RES,Non Strata,3500000,2020-10-24,N,343
"11 FLORENCE ST, COTTESLOE",RES,Strata,3500000,2021-03-30,N,449
"9 CONGDON ST, COTTESLOE",RES,Non Strata,3500000,2019-08-06,N,787
"303-305 MARMION ST, COTTESLOE",COM,Non Strata,3500000,2021-11-29,N,847
"182 BROOME ST, COTTESLOE",RES,Non Strata,3500000,2021-12-13,N,687
"21 HAWKSTONE ST, COTTESLOE",RES,Non Strata,3500000,2016-11-03,N,672.79
"140 BROOME ST, COTTESLOE",RES,Non Strata,3500000,2020-10-17,N,827
"1 CHAMBERLAIN ST, COTTESLOE",RES,Non Strata,3500000,2016-02-08,N,1012
"35 FLORENCE ST, COTTESLOE",RES,Non Strata,3500000,2014-11-07,N,682.907
"91 NAPIER ST, COTTESLOE",RES,Non Strata,3500000,2023-04-29,N,657.614
"48 JOHN ST, COTTESLOE",RES,Non Strata,3500000,2013-09-24,N,622.204
"11 JARRAD ST, COTTESLOE",RES,Non Strata,3500000,2013-01-09,N,789
"70 BROOME ST, COTTESLOE",RES,Non Strata,3500000,2017-06-07,N,642
"69 FORREST ST, COTTESLOE",RES,Non Strata,3500000,2023-05-05,N,875.133
"20 A MARINE PDE, COTTESLOE",RES,Non Strata,3500000,2006-11-09,Y,20
"20 MARINE PDE, COTTESLOE",RES,Non Strata,3500000,2006-11-09,Y,395
"29 AVONMORE TCE, COTTESLOE",RES,Non Strata,3500000,2014-11-07,N,340
"35 FLORENCE ST, COTTESLOE",RES,Non Strata,3500000,2014-11-07,N,682.907
"29 AVONMORE TCE, COTTESLOE",RES,Non Strata,3500000,2014-11-07,N,340
"6 DEANE ST, COTTESLOE",RES,Non Strata,3485000,2015-12-16,N,569
"174 BROOME ST, COTTESLOE",RES,Non Strata,3480000,2014-04-29,N,653
