address,data_source,property_status,sale_amount,sale_date,multi_lot_sale,land_area
"3 GERALDINE ST, COTTESLOE",residential,Non Strata,4060000,2023-11-28,N,708.144
"7 GERALDINE ST, COTTESLOE",residential,Non Strata,3200000,2018-10-31,N,708.144
"6 GERALDINE ST, COTTESLOE",residential,Non Strata,4340000,2019-03-14,N,708.144
"10 GERALDINE ST, COTTESLOE",residential,Non Strata,3750000,2008-01-21,N,708.144
"4 GERALDINE ST, COTTESLOE",residential,Non Strata,3800000,2008-02-16,N,708.144
"29 ERIC ST, COTTESLOE",residential,Non Strata,2780000,2007-08-13,N,354
"23 B ERIC ST, COTTESLOE",residential,Strata,2020000,2021-12-20,N,708.144
"27 ERIC ST, COTTESLOE",residential,Non Strata,5200000,2024-04-27,N,354
"27 A ERIC ST, COTTESLOE",residential,Non Strata,5100000,2022-03-31,N,354
"25 A ERIC ST, COTTESLOE",residential,Strata,1200000,2013-12-06,N,708.144
"22 ERIC ST, COTTESLOE",residential,Non Strata,2020000,2016-10-09,N,607
"28 ERIC ST, COTTESLOE",residential,Non Strata,485000,1995-12-23,N,607
"26 ERIC ST, COTTESLOE",residential,Non Strata,3500000,2020-10-24,N,343
"11 TORRENS ST, COTTESLOE",residential,Non Strata,3800000,2021-04-19,N,409
"24 ERIC ST, COTTESLOE",residential,Non Strata,1600000,2005-10-26,N,462
"20 ERIC ST, COTTESLOE",residential,Non Strata,2700000,2018-08-24,N,563
"3 TORRENS CT, COTTESLOE",residential,Non Strata,4400000,2017-03-13,N,479
"5 TORRENS CT, COTTESLOE",residential,Non Strata,400000,1995-09-22,N,479
"6 TORRENS CT, COTTESLOE",residential,Non Strata,2300000,2017-04-28,N,459
"4 TORRENS CT, COTTESLOE",residential,Non Strata,6700000,2022-08-06,N,456
"5 HAWKSTONE ST, COTTESLOE",residential,Non Strata,2300000,2014-12-06,N,529
"7 HAWKSTONE ST, COTTESLOE",residential,Non Strata,5400000,2022-01-16,N,591
"8 HAWKSTONE ST, COTTESLOE",residential,Non Strata,3100000,2014-09-13,N,726
"6 HAWKSTONE ST, COTTESLOE",residential,Vacant,325000,1995-04-09,N,363
"4 HAWKSTONE ST, COTTESLOE",residential,Non Strata,3950000,2016-05-09,N,726
"6 A HAWKSTONE ST, COTTESLOE",residential,Non Strata,4220000,2022-12-06,N,363
"11 A GRANT ST, COTTESLOE",residential,Vacant,800000,2002-08-14,N,359
